Date, Time, Amount, Type, Description
2025-04-15,18:30:37,-48.80,Withdrawal,"AMAZON.COM*AI3W758P3 AMAZON.COM SEATTLE, WA, US"
2025-04-15,15:29:30,-80.96,Withdrawal,"FRYS FOOD 2929 E. OCOT CHANDLER, AZ, US"
2025-04-15,13:05:28,-21.71,Withdrawal,"OPENAI *CHATGPT SUBSCR 548 Market Street PMB 9 SAN FRANCISCO, CA, US"
2025-04-15,13:04:20,-8.00,Withdrawal,"SUPERSTARCARWASH-ELLSW 7252 SOUTH ELLSWORTH RO MESA, AZ, US"
2025-04-15,11:02:41,-3.01,Withdrawal,"MCDONALD'S F32097 2951 E GERMANN RD CHANDLER, AZ, US"
2025-04-15,10:46:45,-43.32,Withdrawal,"1513 HOLIDAY PHOTO 2218 E WILLIAM FIELD RD GILBERT, AZ, US"
2025-04-15,04:50:04,-349.87,Withdrawal,"CITIBANK, N.A. PAYMENT"
2025-04-15,01:52:18,-4.66,Withdrawal,"KONA ICE 5945 Centennial Circle FLORENCE, KY, US"
2025-04-15,01:43:41,-25.89,Withdrawal,"Pilates Place 2450 E GERMANN RD 9 CHANDLER, AZ, US"
2025-04-14,20:48:07,-35.98,Withdrawal,"PAPA MURPHY'S A MESA, AZ, US"
2025-04-14,18:54:34,-81.29,Withdrawal,"COSTCO GAS #064 GILBERT, AZ, US"
2025-04-14,13:12:21,-42.94,Withdrawal,"DAY AUTO 0035880 18705 E BUSINESS PARK D QUEEN CREEK, AZ, US"
2025-04-14,13:05:58,-208.33,Withdrawal,"PROGRESSIVE *INSURANCE 6300 Wilson Mills Rd 800-776-4737, OH, US"
2025-04-14,12:34:00,-7.02,Withdrawal,"DUTCH BROS AZ1401 QUEE 20898 E QUEEN CREEK RD QUEEN CREEK, AZ, US"
2025-04-14,11:13:00,-29.22,Withdrawal,"SQ *HOLIDAY PHOTOS 4 East Stow Road Suite gosq.com, NJ, US"
2025-04-13,18:15:03,-4.59,Withdrawal,"BASHAS' #046 QUEEN CREEK, AZ, US"
2025-04-13,17:54:33,-56.10,Withdrawal,"WM SUPERCENTER #4451 Wal-Mart Super Center QUEEN CREEK, AZ, US"
2025-04-13,16:01:17,-54.92,Withdrawal,"SPEEDWAY 43049 7226 S ELLSWORTH RD MESA, AZ, US"
2025-04-13,12:55:40,-26.80,Withdrawal,"OPENROUTER, INC 169 Madison Avenue #240 NEW YORK, NY, US"
2025-04-13,10:48:57,-16.25,Withdrawal,"HARKINS QUEEN CREEK, L 20481 E RITTENHOUSE RD QUEEN CREEK, AZ, US"
2025-04-13,10:48:56,-4.34,Withdrawal,"MY HOT LUNCHBOX 102 Shannon Oaks Circle CARY, NC, US"
2025-04-13,03:18:10,-32.09,Withdrawal,"OPENROUTER, INC 169 Madison Avenue #240 NEW YORK, NY, US"
2025-04-12,20:50:03,-98.40,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-04-12,12:22:33,-3.11,Withdrawal,"Pilates Place 2450 E GERMANN RD 9 CHANDLER, AZ, US"
2025-04-12,11:52:28,-22.18,Withdrawal,"MCDONALD'S F32097 2951 E GERMANN RD CHANDLER, AZ, US"
2025-04-12,11:42:05,-0.97,Withdrawal,"SHELL OIL 12713275001 7215 S ELLSWORTH RD MESA, AZ, US"
2025-04-12,02:16:07,-59.00,Withdrawal,"CLASSPASS* MONTHLY 101 E Front St, Suite 2 MISSOULA, MT, US"
2025-04-11,23:18:26,-437.00,Withdrawal,AMEX EPAYMENT RETRY PYMT
2025-04-11,22:49:40,-46.60,Withdrawal,"TRADER JO TRADER JOES QUEEN CREEK, AZ, US"
2025-04-11,22:36:21,-147.65,Withdrawal,"TARGET T- 21398 S Ells Queen Creek, AZ, US"
2025-04-11,16:17:55,2502.75,Deposit,MG6UNITED TECHNO DIRECT DEP
2025-04-10,22:02:32,-10.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to HAYLEIGH  SMITH
2025-04-10,13:29:59,-54.57,Withdrawal,"BARROS PIZZA - QUEEN C 20415 E RITTENHOUSE RD QUEEN CREEK, AZ, US"
2025-04-10,12:49:36,-51.72,Withdrawal,"WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE, AR, US"
2025-04-10,11:14:22,-6.92,Withdrawal,"CIRCLE K # 09550 1650 E Germann Rd GILBERT, AZ, US"
2025-04-09,19:22:35,303.00,Deposit,Zelle payment from Chad Cornwell to Chad E Cornwell (Ally Spending Account XXXXXX5022)
2025-04-09,13:21:16,-20.00,Withdrawal,"CURSOR, AI POWERED IDE 801 West End Avenue NEW YORK, NY, US"
2025-04-09,12:28:05,-1.18,Withdrawal,"WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE, AR, US"
2025-04-09,10:44:10,-16.28,Withdrawal,"BETTER DAYS BEHAVIORAL 3170 S GILBERT RD STE 1 CHANDLER, AZ, US"
2025-04-09,10:43:39,-3.85,Withdrawal,"CIRCLE K 03377 3010 S  GILBERT RD CHANDLER, AZ, US"
2025-04-08,23:23:24,-5.00,Withdrawal,SUNVALLEYCOMMUNI WEBPAYMENT
2025-04-08,20:28:28,-87.06,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-04-08,15:10:23,-4.32,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-04-08,15:09:11,-109.96,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-04-08,15:05:00,-25.00,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-04-08,14:28:28,-37.42,Withdrawal,"AFFIRM   PAY WFKPAQSR SAN FRANCISCO, CA, US"
2025-04-08,12:47:32,-59.77,Withdrawal,"COSTCO GAS #162 QUEEN CREEK, AZ, US"
2025-04-08,12:44:10,100.00,Deposit,Internet transfer from Savings account XXXXXX3244
2025-04-08,12:39:54,340.66,Deposit,Internet transfer from Savings account XXXXXX3562
2025-04-08,10:42:24,-15.77,Withdrawal,"MCDONALD'S F39618 1705 E QUEEN CREEK RD GILBERT, AZ, US"
2025-04-08,03:07:56,-21.69,Withdrawal,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US"
2025-04-08,02:00:30,-26.47,Withdrawal,"SHELL OIL 12713275001 7215 S ELLSWORTH RD MESA, AZ, US"
2025-04-08,01:46:23,-3.11,Withdrawal,"Pilates Place 2450 E GERMANN RD 9 CHANDLER, AZ, US"
2025-04-07,23:28:28,-10.00,Withdrawal,VENMO PAYMENT
2025-04-07,13:03:45,-31.00,Withdrawal,"APPLE CASH BALANCE ADD 1 INFINITE LOOP 877-233-8552, CA, US"
2025-04-07,12:43:23,-29.75,Withdrawal,"HARKINS QUEEN CREEK, L 20481 E RITTENHOUSE RD QUEEN CREEK, AZ, US"
2025-04-07,10:42:08,-6.01,Withdrawal,"DUTCH BROS AZ0635 5503 S POWER RD MESA, AZ, US"
2025-04-07,08:25:06,-26.67,Withdrawal,"QT 441 918 E. BASELINE RD. TEMPE, AZ, US"
2025-04-07,07:34:54,-37.28,Withdrawal,"PAPA JOHNS 3327 21803 S ELLSWORTH RD QUEEN CREEK, AZ, US"
2025-04-06,18:29:48,-80.51,Withdrawal,"SPEEDWAY  7226 S ELLSW MESA, AZ, US"
2025-04-06,12:50:54,-10.00,Withdrawal,"SQ *OLMC PARISH 2121 South Rural Road Tempe, AZ, US"
2025-04-06,03:25:06,-10.50,Withdrawal,"SQ *OLMC SCHOOL 2117 S Rural Rd Tempe, AZ, US"
2025-04-06,03:20:44,-21.52,Withdrawal,"OPENROUTER, INC 169 Madison Avenue #240 NEW YORK, NY, US"
2025-04-06,02:37:04,-67.81,Withdrawal,"SQ *REVEL SURF PARK MESA SQUARE PURCHASE MESA, AZ, US"
2025-04-06,01:55:36,-12.05,Withdrawal,"DUTCH BROS AZ1401 QUEE 20898 E QUEEN CREEK RD QUEEN CREEK, AZ, US"
2025-04-06,01:52:17,-13.30,Withdrawal,"SQ *KONA ICE OF TEMPE- 2302 N Arrowhead Dr Chandler, AZ, US"
2025-04-06,00:53:51,-50.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-04-05,22:28:45,17.00,Deposit,Zelle payment from JESSICA MORALES to Elizabeth A Callis (Ally Spending Account XXXXXX5022)
2025-04-05,12:09:57,500.00,Deposit,Zelle payment from PEGGY CORNWELL to Chad E Cornwell (Ally Spending Account XXXXXX5022)
2025-04-05,11:18:29,-70.00,Withdrawal,"APPLE NAILED IT SPA 5498 SOUTH POWER ROAD GILBERT, AZ, US"
